,Algorithm,ANOC,ANR,ANA,ANUA
1,1R-C,106.53846153846153,3.3076923076923075,3.3076923076923075,1.0
2,GPR,156.23076923076923,4.0,6.6923076923076925,5.3076923076923075
3,C45Rules-C,392.0769230769231,8.384615384615385,18.846153846153847,6.461538461538462
4,C45RulesSA-C,557.6153846153846,9.76923076923077,28.076923076923077,6.153846153846154
5,EACH-C,695.3846153846154,2.0,23.46153846153846,11.846153846153847
6,NSLV-C,824.0769230769231,8.923076923076923,28.46153846153846,8.23076923076923
7,Ripper-C,981.3076923076923,16.153846153846153,51.30769230769231,8.846153846153847
8,C45-C,1425.3076923076924,11.461538461538462,57.23076923076923,6.615384615384615
9,DT_GA-C,2703.3846153846152,18.076923076923077,123.0,10.384615384615385
10,SLAVE2-C,4593.846153846154,12.384615384615385,154.6153846153846,13.307692307692308
11,SLAVEv0-C,5101.923076923077,14.692307692307692,168.07692307692307,13.384615384615385
12,PGIRLA-C,6330.538461538462,18.692307692307693,115.3076923076923,12.307692307692308
13,Hider-C,11468.846153846154,18.076923076923077,425.15384615384613,11.076923076923077
14,OCEC-C,12188.076923076924,83.23076923076923,772.4615384615385,13.307692307692308
15,OIGA-C,20958.076923076922,30.0,399.2307692307692,15.846153846153847
16,DT_Oblique-C,32457.384615384617,61.15384615384615,1059.076923076923,11.692307692307692
