,C45RulesSA-C,Algorithm,p-value
1,C45RulesSA-C,1R-C,0.00017129573464990414
2,C45RulesSA-C,C45-C,0.021996969814820376
3,C45RulesSA-C,C45Rules-C,0.7936388330393043
4,C45RulesSA-C,DT_GA-C,0.022247263052436708
5,C45RulesSA-C,DT_Oblique-C,0.0012150519254730853
6,C45RulesSA-C,EACH-C,3.3575009162261366e-10
7,C45RulesSA-C,GPR,0.012343361197500301
8,C45RulesSA-C,Hider-C,0.8441275646866693
9,C45RulesSA-C,NSLV-C,0.0023422186241861096
10,C45RulesSA-C,OCEC-C,0.0701125378555594
11,C45RulesSA-C,OIGA-C,0.011229567052041504
12,C45RulesSA-C,PGIRLA-C,0.031210324765153747
13,C45RulesSA-C,Ripper-C,0.00038408487391547425
14,C45RulesSA-C,SLAVE2-C,0.06595226773739216
15,C45RulesSA-C,SLAVEv0-C,0.6271630580898269
