,SLAVEv0-C,Algorithm,p-value
1,SLAVEv0-C,1R-C,6.0383497393789406e-05
2,SLAVEv0-C,C45-C,0.056732420888220655
3,SLAVEv0-C,C45Rules-C,0.5863331823073212
4,SLAVEv0-C,C45RulesSA-C,0.6271630580898269
5,SLAVEv0-C,DT_GA-C,0.1409461909159822
6,SLAVEv0-C,DT_Oblique-C,0.0002231411765285857
7,SLAVEv0-C,EACH-C,4.725903437280976e-11
8,SLAVEv0-C,GPR,0.002320857564511131
9,SLAVEv0-C,Hider-C,0.5098740494792667
10,SLAVEv0-C,NSLV-C,0.0006346976792861222
11,SLAVEv0-C,OCEC-C,0.027605544619969474
12,SLAVEv0-C,OIGA-C,0.017292578820580055
13,SLAVEv0-C,PGIRLA-C,0.08404884391562703
14,SLAVEv0-C,Ripper-C,5.1710577690386255e-05
15,SLAVEv0-C,SLAVE2-C,0.017476690226957876
