,Algorithm,MCC p-value,Specificity p-value,AUC p-value,Accuracy p-value,Precision p-value,Recall p-value,Mixed p-value
1,1R-C,3.529331453479415e-11,0.22153679571200857,1.1190020801785812e-11,0.03208375361530098,5.14977099693583e-12,0.03208375361530098,1.9528725805023507e-06
2,C45-C,0.31885746993652964,0.0003956912755636463,0.8746535134615208,0.00336209369214401,0.24994704478770313,0.00336209369214401,0.06738930083014807
3,C45Rules-C,0.23482894796194087,0.45112571796329504,0.26938086765780556,0.053964873841708096,0.15443995797450163,0.053964873841708096,0.12731115532449952
4,C45RulesSA-C,0.3052272542191137,0.24744117234090546,0.27079011029826483,0.0701125378555594,0.18642782169004446,0.0701125378555594,0.16079416052641637
5,DT_GA-C,0.4529761942800151,4.4477967535706394e-05,0.9071131181985879,0.0042238776518880505,0.35059414179445114,0.0042238776518880505,0.12338928429545383
6,DT_Oblique-C,0.039624231999583516,0.9232993844548713,0.03284506537140157,0.20838792822280428,0.04669018192424461,0.20838792822280428,0.0967937631537495
7,EACH-C,1.2287898986238618e-08,0.004164908635741544,7.504539134404351e-10,1.1008412312090361e-07,3.3693373918558348e-06,1.1008412312090361e-07,1.2197240184863769e-09
8,GPR,0.07246833723480565,0.00010898561803163944,0.8430342406385336,1.3491410210785015e-05,0.17446950037426612,1.3491410210785015e-05,0.003051324994489038
9,Hider-C,0.5942296764685031,0.0001943551298226837,0.017163605564018154,0.11556343223870774,0.9013807367415906,0.11556343223870774,0.7311117667501368
10,NSLV-C,0.49754883215783097,4.883366952416256e-05,0.9277285870413754,1.6244705401228635e-05,0.5155331337002044,1.6244705401228635e-05,0.01614911055725132
11,OIGA-C,0.4704257690729349,1.1344463655752857e-09,0.39837351977447033,8.356083016270923e-05,0.21198868253054048,8.356083016270923e-05,0.02496077118359102
12,PGIRLA-C,0.000917983415824592,8.216006673576568e-06,4.5842114774747783e-05,0.19917523263162806,0.00019270678418016604,0.19917523263162806,0.009457050410375216
13,Ripper-C,0.9887881076403211,1.073014274397766e-05,0.8889144109606397,0.0504554276453277,0.3055735021897076,0.0504554276453277,0.11115102121895883
14,SLAVE2-C,0.9516963609560674,1.6057223864023333e-05,0.3305418298916035,0.0005505002034511312,0.9155750866574262,0.0005505002034511312,0.13710668557152336
15,SLAVEv0-C,0.04910884218890679,0.002148128064347281,0.005362073119550273,0.027605544619969474,0.07345809225609568,0.027605544619969474,0.7302930526071596
