,GPR,Algorithm,p-value
1,GPR,1R-C,2.1976972721107295e-11
2,GPR,C45-C,0.8474612352520605
3,GPR,C45Rules-C,0.8689528343265828
4,GPR,C45RulesSA-C,0.6243258678551736
5,GPR,DT_GA-C,0.9265318196570983
6,GPR,DT_Oblique-C,0.0025644568209406073
7,GPR,EACH-C,9.072639571174429e-09
8,GPR,Hider-C,0.005561037081558176
9,GPR,NSLV-C,0.5979785025699895
10,GPR,OCEC-C,0.07246833723480565
11,GPR,OIGA-C,0.6399223915239153
12,GPR,PGIRLA-C,0.000335038394655423
13,GPR,Ripper-C,0.5354689693057911
14,GPR,SLAVE2-C,0.26528091126140296
15,GPR,SLAVEv0-C,0.001212348868129242
