,OIGA-C,Algorithm,p-value
1,OIGA-C,1R-C,2.721810308025234e-11
2,OIGA-C,C45-C,0.7716334425803524
3,OIGA-C,C45Rules-C,0.9715000349697719
4,OIGA-C,C45RulesSA-C,0.8069362326703395
5,OIGA-C,DT_GA-C,0.7013543718280812
6,OIGA-C,DT_Oblique-C,0.0050450617413475805
7,OIGA-C,EACH-C,2.740407794118137e-10
8,OIGA-C,GPR,0.6399223915239153
9,OIGA-C,Hider-C,0.06492378426471589
10,OIGA-C,NSLV-C,0.7461977779653619
11,OIGA-C,OCEC-C,0.4704257690729349
12,OIGA-C,PGIRLA-C,0.0006050741908058681
13,OIGA-C,Ripper-C,0.6331298652334929
14,OIGA-C,SLAVE2-C,0.5146323940481914
15,OIGA-C,SLAVEv0-C,0.0477959750958416
