,DT_Oblique-C,Algorithm,p-value
1,DT_Oblique-C,1R-C,0.0001872655878772836
2,DT_Oblique-C,C45-C,4.0955202362127486e-05
3,DT_Oblique-C,C45Rules-C,0.0010440913044173288
4,DT_Oblique-C,C45RulesSA-C,0.000794497930630537
5,DT_Oblique-C,DT_GA-C,0.00012340381130310037
6,DT_Oblique-C,EACH-C,1.10822335068264e-08
7,DT_Oblique-C,GPR,1.0770044890997405e-05
8,DT_Oblique-C,Hider-C,0.13136914257128296
9,DT_Oblique-C,NSLV-C,7.83466169721609e-06
10,DT_Oblique-C,OCEC-C,0.0967937631537495
11,DT_Oblique-C,OIGA-C,5.5532332922174166e-05
12,DT_Oblique-C,PGIRLA-C,0.29120864965898985
13,DT_Oblique-C,Ripper-C,0.5489663064556201
14,DT_Oblique-C,SLAVE2-C,0.0001570036229443025
15,DT_Oblique-C,SLAVEv0-C,0.04457177505878256
