,Hider-C,Algorithm,p-value
1,Hider-C,1R-C,1.9711341748099547e-05
2,Hider-C,C45-C,0.10278673624252063
3,Hider-C,C45Rules-C,0.1666582914812864
4,Hider-C,C45RulesSA-C,0.1806694979521719
5,Hider-C,DT_GA-C,0.014104260891654577
6,Hider-C,DT_Oblique-C,0.13136914257128296
7,Hider-C,EACH-C,1.7234106533204406e-08
8,Hider-C,GPR,0.001977183869170446
9,Hider-C,NSLV-C,0.017481278745879535
10,Hider-C,OCEC-C,0.7311117667501368
11,Hider-C,OIGA-C,0.008243059704229188
12,Hider-C,PGIRLA-C,0.004869970985276336
13,Hider-C,Ripper-C,0.3113310574937439
14,Hider-C,SLAVE2-C,0.16543995617310192
15,Hider-C,SLAVEv0-C,0.8013639380266379
