,C45Rules-C,Algorithm,p-value
1,C45Rules-C,1R-C,0.0002994704722857173
2,C45Rules-C,C45-C,0.021594569785427797
3,C45Rules-C,C45RulesSA-C,0.7936388330393043
4,C45Rules-C,DT_GA-C,0.023210492260093883
5,C45Rules-C,DT_Oblique-C,0.0010913858247314397
6,C45Rules-C,EACH-C,2.539979113712632e-09
7,C45Rules-C,GPR,0.0027056800931405524
8,C45Rules-C,Hider-C,0.9480627097895112
9,C45Rules-C,NSLV-C,0.0009748630579687281
10,C45Rules-C,OCEC-C,0.053964873841708096
11,C45Rules-C,OIGA-C,0.001631459432427169
12,C45Rules-C,PGIRLA-C,0.04220889490968986
13,C45Rules-C,Ripper-C,0.0005581021914804245
14,C45Rules-C,SLAVE2-C,0.05076876567677114
15,C45Rules-C,SLAVEv0-C,0.5863331823073212
