,DT_GA-C,Algorithm,p-value
1,DT_GA-C,1R-C,6.228247831778561e-07
2,DT_GA-C,C45-C,0.0413950641918209
3,DT_GA-C,C45Rules-C,1.4927039167394053e-06
4,DT_GA-C,C45RulesSA-C,8.644172894464513e-05
5,DT_GA-C,DT_Oblique-C,8.887234458870008e-06
6,DT_GA-C,EACH-C,0.0029045947590070754
7,DT_GA-C,GPR,0.8858479859200566
8,DT_GA-C,Hider-C,0.7514144659414667
9,DT_GA-C,NSLV-C,0.3746076768493989
10,DT_GA-C,OCEC-C,4.4477967535706394e-05
11,DT_GA-C,OIGA-C,0.001411885008119915
12,DT_GA-C,PGIRLA-C,0.831270211121728
13,DT_GA-C,Ripper-C,6.55803971905157e-09
14,DT_GA-C,SLAVE2-C,0.3684386594575376
15,DT_GA-C,SLAVEv0-C,0.04442957746567352
