,OCEC-C,Algorithm,p-value
1,OCEC-C,1R-C,0.22153679571200857
2,OCEC-C,C45-C,0.0003956912755636463
3,OCEC-C,C45Rules-C,0.45112571796329504
4,OCEC-C,C45RulesSA-C,0.24744117234090546
5,OCEC-C,DT_GA-C,4.4477967535706394e-05
6,OCEC-C,DT_Oblique-C,0.9232993844548713
7,OCEC-C,EACH-C,0.004164908635741544
8,OCEC-C,GPR,0.00010898561803163944
9,OCEC-C,Hider-C,0.0001943551298226837
10,OCEC-C,NSLV-C,4.883366952416256e-05
11,OCEC-C,OIGA-C,1.1344463655752857e-09
12,OCEC-C,PGIRLA-C,8.216006673576568e-06
13,OCEC-C,Ripper-C,1.073014274397766e-05
14,OCEC-C,SLAVE2-C,1.6057223864023333e-05
15,OCEC-C,SLAVEv0-C,0.002148128064347281
